Names,Names2,A1,A2,A3,A4,A5,A6,A7,A8,Sample,Group,Names,,,
F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326251,1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,Tajikistan_SRR20326251.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Tajikistan_SRR20326251,merge,CanFam31,bam
F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326250,1E-09,1E-09,1E-09,1E-09,0.155758765,1E-09,0.844241229,1E-09,Tajikistan_SRR20326250.merge.CanFam31.bam,CentralAsia,F_CentralAsia_Tajikistan_SRR20326250,merge,CanFam31,bam
F_CentralAsia_750114-25D.CanFam31.realigned.bam,F_CentralAsia_750114-25D_Kazakhstan,0.480070592,1E-09,0.029079395,1E-09,1E-09,0.112394694,0.086150118,0.292305198,750114-25D.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_750114-25D_Kazakhstan,CanFam31,realigned,bam
F_CentralAsia_750119-30D.CanFam31.realigned.bam,F_CentralAsia_750119-30D_Kazakhstan,0.419448537,1E-09,0.017477089,1E-09,1E-09,0.136446851,0.103940627,0.322686893,750119-30D.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_750119-30D_Kazakhstan,CanFam31,realigned,bam
F_CentralAsia_750125-33D.CanFam31.realigned.bam,F_CentralAsia_750125-33D_Russia,0.864207296,1E-09,0.026701802,1E-09,1E-09,0.061749974,0.000490867,0.046850058,750125-33D.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_750125-33D_Russia,CanFam31,realigned,bam
F_CentralAsia_750117-28D.CanFam31.realigned.bam,F_CentralAsia_750117-28D_Kazakhstan,0.542397764,1E-09,0.03095547,1E-09,1E-09,0.130880288,0.078110007,0.217656468,750117-28D.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_750117-28D_Kazakhstan,CanFam31,realigned,bam
F_CentralAsia_750282-35D.CanFam31.realigned.bam,F_CentralAsia_750282-35D_Russia,0.528703248,1E-09,0.002209586,1E-09,1E-09,0.0969065,0.081200093,0.29098057,750282-35D.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_750282-35D_Russia,CanFam31,realigned,bam
F_CentralAsia_750016-17D.CanFam31.realigned.bam,F_CentralAsia_750016-17D_Russia,0.637133066,1E-09,1E-09,1E-09,1E-09,0.06654162,0.03220292,0.26412239,750016-17D.CanFam31.realigned.bam,CentralAsia,F_CentralAsia_750016-17D_Russia,CanFam31,realigned,bam
F_CentralAsia_China_SRR20326486.merge.CanFam31.bam,F_CentralAsia_China_SRR20326486_Xinjiang,0.158474529,1E-09,0.001375897,1E-09,1E-09,0.086540343,0.314389943,0.439219285,China_SRR20326486.merge.CanFam31.bam,CentralAsia,F_CentralAsia_China_SRR20326486_Xinjiang,merge,CanFam31,bam
F_CentralAsia_China_SRR20326485.merge.CanFam31.bam,F_CentralAsia_China_SRR20326485_Xinjiang,0.061402326,1E-09,0.003781882,1E-09,1E-09,0.10521916,0.337081644,0.492514986,China_SRR20326485.merge.CanFam31.bam,CentralAsia,F_CentralAsia_China_SRR20326485_Xinjiang,merge,CanFam31,bam
F_CentralAsia_China_SRR20326484.merge.CanFam31.bam,F_CentralAsia_China_SRR20326484_Xinjiang,0.129791463,1E-09,1E-09,1E-09,0.020216681,0.073066475,0.303852343,0.473073036,China_SRR20326484.merge.CanFam31.bam,CentralAsia,F_CentralAsia_China_SRR20326484_Xinjiang,merge,CanFam31,bam
