Names,A1,A2,A3,A4,A5,A6,A7,Sample,Group
G_EastAsia_MW574.CanFam31.realigned.bam,0.030746512,0.027773323,0.073079496,1.00E-09,1.00E-09,0.868400666,1.00E-09,MW574.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW4.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,Wang_GW4.CanFam31.realigned.bam,EastAsia
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,1.21E-05,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.99998785,1.00E-09,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW588.CanFam31.realigned.bam,0.020835974,1.00E-09,0.129601123,1.51E-07,1.00E-09,0.84956275,1.00E-09,MW588.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW561.CanFam31.realigned.bam,0.004762995,0.009728423,0.114144638,0.116507236,0.000000001,0.732755545,0.022101162,MW561.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW524.CanFam31.realigned.bam,0.020628697,1.00E-09,0.098891371,1.00E-09,1.00E-09,0.880479927,1.00E-09,MW524.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW538.CanFam31.realigned.bam,0.012022686,1.00E-09,0.138400344,4.79E-07,1.00E-09,0.849576488,1.00E-09,MW538.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam,1.00E-09,0.001541917,1.00E-09,1.00E-09,1.00E-09,0.998458078,1.00E-09,Chinese_CAN7.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,Chinese_CAN6.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW2.CanFam31.realigned.bam,0.006631806,1.00E-09,0.111588958,1.00E-09,1.00E-09,0.881779232,1.00E-09,Wang_GW2.CanFam31.realigned.bam,EastAsia
G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam,0.016863332,0.039484422,1.00E-09,1.00E-09,1.00E-09,0.943652243,1.00E-09,LiaoNingWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam,0.015581752,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.984418243,1.00E-09,Shanxi2Wolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam,3.57E-05,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999964322,1.00E-09,Shanxi1Wolf.CanFam31.realigned.bam,EastAsia
I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam,0.048403312,1.00E-09,0.231680399,1.00E-09,0.067639101,0.652277185,1.00E-09,Ellesmere1.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam,0.072815687,1.00E-09,0.195388429,1.00E-09,0.055509386,0.676286495,1.00E-09,AlaskanWolf.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam,0.107549797,1.00E-09,0.172855219,1.00E-09,0.118323529,0.601271452,1.00E-09,MexicanWolf.CanFam31.realigned.bam,NorthAmerica
A_A_Dhole_BerlinZoo.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,BerlinZoo.CanFam31.realigned.bam,Dhole
A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,Ethiopian_wolf_B3.CanFam31.realigned.bam,Ethiopianwolf
A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,Syrian_jackal.CanFam31.realigned.bam,GoldenJackal
A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,KenyaJackal.CanFam31.realigned.bam,Africanwolf
A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,ERR4372262_Morocco_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,CRR010907_Algeria_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999994,1.00E-09,1.00E-09,Africanwolf_SRR8049196.CanFam31.bam,Africanwolf
A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.838881166,0.161118829,1.00E-09,CaliforniaCoyote.CanFam31.realigned.bam,Coyote
A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam,0.138924902,1.00E-09,1.00E-09,1.00E-09,0.72420091,0.136874183,1.00E-09,SRR1518489_Coyote_Illinois.CanFam31.bam,Coyote
Z_Dog_Beagle_SRR7107976.CanFam31.bam,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Beagle_SRR7107976.CanFam31.bam,Dog
Z_Dog_Dauchound_SRR7107971.CanFam31.bam,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Dauchound_SRR7107971.CanFam31.bam,Dog
Z_Dog_SRR7107875_Airdale.CanFam31.bam,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,SRR7107875_Airdale.CanFam31.bam,Dog
Z_Dog_MW207.CanFam31.realigned.bam,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW207.CanFam31.realigned.bam,Dog
Z_Dog_SharPei02.CanFam31.realigned.bam,0.999999994,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,SharPei02.CanFam31.realigned.bam,Dog
