A1,A2,A3,A4,A5,A6,Population
1E-09,0.470592059,0.063898795,0.00294133,0.331668398,0.130899417,F_CentralAsiaChina_SRR20326485.merge.CanFam31.bam
1E-09,0.477089312,0.067818379,1E-09,0.311572007,0.1435203,F_CentralAsiaChina_SRR20326484.merge.CanFam31.bam
1E-09,0.4648116,0.098215039,1E-09,0.242516705,0.194456655,F_CentralAsiaChina_SRR20326483.merge.CanFam31.bam
1E-09,0.17106106,1E-09,1E-09,1E-09,0.828938936,F_CentralAsiaMW486.CanFam31.realigned.bam
1E-09,0.999999995,1E-09,1E-09,1E-09,1E-09,G_EastAsiaChina_SRR20326491.merge.CanFam31.bam
0.005007937,0.994992059,1E-09,1E-09,1E-09,1E-09,G_EastAsiaMW574.CanFam31.realigned.bam
1E-09,0.999999995,1E-09,1E-09,1E-09,1E-09,G_EastAsiaWang_GW4.CanFam31.realigned.bam
1E-09,0.999999995,1E-09,1E-09,1E-09,1E-09,G_EastAsiaInnerMongoliaWolf.CanFam31.realigned.bam
0.000000001,0.834316757,0.025509223,0.000000001,0.041827879,0.098346139,G_EastAsiaMW588.CanFam31.realigned.bam
0.001676326,0.732402804,0.051825446,0.009557525,0.069222577,0.135315322,G_EastAsiaMW561.CanFam31.realigned.bam
1E-09,0.933785741,1E-09,1E-09,1E-09,0.066214255,G_EastAsiaMW524.CanFam31.realigned.bam
1E-09,0.878906034,1E-09,1E-09,1E-09,0.121093962,G_EastAsia_MW538.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,0.999999995,H_Europe_MW336.CanFam31.realigned.bam
0.014115998,0.985883998,1E-09,1E-09,1E-09,1E-09,G_EastAsiaChinese_CAN7.CanFam31.realigned.bam
1E-09,0.999999995,1E-09,1E-09,1E-09,1E-09,G_EastAsiaChinese_CAN6.CanFam31.realigned.bam
1E-09,0.919574244,1E-09,1E-09,1E-09,0.080425752,G_EastAsiaWang_GW2.CanFam31.realigned.bam
0.016561094,0.983438902,1E-09,1E-09,1E-09,1E-09,G_EastAsiaLiaoNingWolf.CanFam31.realigned.bam
0.026916371,0.973083625,1E-09,1E-09,1E-09,1E-09,G_EastAsiaShanxi2Wolf.CanFam31.realigned.bam
0.035846416,0.96415358,1E-09,1E-09,1E-09,1E-09,G_EastAsiaShanxi1Wolf.CanFam31.realigned.bam
0.616800536,0.38319946,1E-09,1E-09,1E-09,1E-09,E_TibetanChina_Sichuan_again_SRR20326479.CanFam31.bam
