A1,A2,A3,A4,A5,A6,A7,A8,Sample,Names
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.986774607,0.013225387,MW020.CanFam31.realigned.bam,H_Europe_MW020.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,MW045.CanFam31.realigned.bam,H_Europe_MW045.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,MW062.CanFam31.realigned.bam,H_Europe_MW062.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,MW515.CanFam31.realigned.bam,H_Europe_MW515.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,MW707A.CanFam31.realigned.bam,H_Europe_MW707A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,MW703A.CanFam31.realigned.bam,H_Europe_MW703A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,MW706A.CanFam31.realigned.bam,H_Europe_MW706A.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.879489943,0.120510051,MW1126.CanFam31.realigned.bam,H_Europe_MW1126.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.976517342,0.023482652,MW1135.CanFam31.realigned.bam,H_Europe_MW1135.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,MW339.CanFam31.realigned.bam,H_Europe_MW339.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,1E-09,1E-09,0.999999993,1E-09,MW055.CanFam31.realigned.bam,H_Europe_MW055.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.071839998,1E-09,0.896400586,0.031759411,Wang_GW3.CanFam31.realigned.bam,H_Europe_Wang_GW3.CanFam31.realigned.bam
0.06922009,0.160344319,0.007409345,1E-09,0.592469844,0.017342455,0.153213944,1E-09,Chinese_CAN24.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam
0.079654745,0.175078344,0.010062236,1E-09,0.534241729,0.004847777,0.196115167,1E-09,Chinese_CAN30.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam
0.066246924,0.111996893,1E-09,1E-09,0.561591266,0.018581278,0.219961802,0.021621834,Wang_GW1.CanFam31.realigned.bam,F_CentralAsia_Wang_GW1.CanFam31.realigned.bam
0.068481877,0.319391259,0.000000001,0.000000001,0.420112711,0.01507886,0.140923087,0.036012205,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam
0.042732948,0.279959025,1E-09,1E-09,0.523494904,0.006621063,0.147192057,1E-09,Kazakhstan_SRR20326405.CanFam31.bam,F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam
0.410973618,0.136110634,0.003382465,0.000000001,0.097322242,0.208698,0.129546445,0.013966596,norwegian_wolf,F_CentralAsia_AW012.CanFam31.realigned.bam
0.023457953,0.221667423,1E-09,1E-09,0.619999667,1E-09,0.134874953,1E-09,Russia_SRR20326404.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam
0.008342943,0.203524978,1E-09,1E-09,0.644158756,1E-09,0.143973318,1E-09,Russia_SRR20326403.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.999999991,1E-09,3.01704E-09,1E-09,Russia_SRR20326401.CanFam31.bam,F_CentralAsia_Russia_SRR20326401.CanFam31.bam
1E-09,0.040752832,1E-09,1E-09,0.959247162,1E-09,1E-09,1E-09,Russia_SRR20326400.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam
0.304198896,0.168273799,1E-09,0.013729112,0.159376377,1E-09,0.313170786,0.041251028,Russia_SRR20326388.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam
