A1,A2,A3,A4,A5,A6,Sample,Names
0.008673375,0.000000001,0.65643257,0.126212378,0.02451344,0.184168236,Iran_SRR20326408.merge.CanFam31.bam,C_WestAsia_Iran_SRR20326408.merge.CanFam31.bam
0.024171465,0.000000001,0.740148236,0.056400152,0.01616947,0.163110676,norwegian_wolf,C_WestAsia_MW387.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,PortugueseWolf.CanFam31.realigned.bam,H_Europe_PortugueseWolf.CanFam31.realigned.bam
0.146590736,1E-09,0.85340926,1E-09,1E-09,1E-09,IberianWolf.CanFam31.realigned.bam,H_Europe_IberianWolf.CanFam31.realigned.bam
0.365751747,1E-09,0.634248249,1E-09,1E-09,1E-09,wSierraMorena.CanFam31.realigned.bam,H_Europe_wSierraMorena.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam,H_Europe_ItalianWolf_W050_SAMN02921313.CanFam31.realigned.bam
1E-09,1E-09,0.942204603,0.057795393,1E-09,1E-09,MW005.CanFam31.realigned.bam,H_Europe_MW005.CanFam31.realigned.bam
1E-09,1E-09,0.908803799,0.091196197,1E-09,1E-09,MW347.CanFam31.realigned.bam,H_Europe_MW347.CanFam31.realigned.bam
0.02879968,1E-09,0.971199577,7.40359E-07,1E-09,1E-09,MW020.CanFam31.realigned.bam,H_Europe_MW020.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,MW045.CanFam31.realigned.bam,H_Europe_MW045.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,MW062.CanFam31.realigned.bam,H_Europe_MW062.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,MW515.CanFam31.realigned.bam,H_Europe_MW515.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,MW707A.CanFam31.realigned.bam,H_Europe_MW707A.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,MW703A.CanFam31.realigned.bam,H_Europe_MW703A.CanFam31.realigned.bam
0.005653524,1E-09,0.994346472,1E-09,1E-09,1E-09,MW706A.CanFam31.realigned.bam,H_Europe_MW706A.CanFam31.realigned.bam
0.120674972,1E-09,0.879325024,1E-09,1E-09,1E-09,MW1126.CanFam31.realigned.bam,H_Europe_MW1126.CanFam31.realigned.bam
0.029691953,1E-09,0.970308043,1E-09,1E-09,1E-09,MW1135.CanFam31.realigned.bam,H_Europe_MW1135.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,MW339.CanFam31.realigned.bam,H_Europe_MW339.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,MW055.CanFam31.realigned.bam,H_Europe_MW055.CanFam31.realigned.bam
0.032566273,1E-09,0.872322387,0.095111337,1E-09,1E-09,Wang_GW3.CanFam31.realigned.bam,H_Europe_Wang_GW3.CanFam31.realigned.bam
1.95662E-08,0.012751501,0.244394071,0.690698449,0.000000001,0.052155959,Chinese_CAN24.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN24.CanFam31.realigned.bam
1E-09,0.016793175,0.301068779,0.63795107,1E-09,0.044186973,Chinese_CAN30.CanFam31.realigned.bam,F_CentralAsia_Chinese_CAN30.CanFam31.realigned.bam
0.030094873,1.53074E-06,0.297087081,0.627591764,1E-09,0.04522475,Wang_GW1.CanFam31.realigned.bam,F_CentralAsia_Wang_GW1.CanFam31.realigned.bam
0.033544347,0.007365655,0.262943247,0.622727601,0.000000001,0.073419149,Kyrgyzstan_SRR20326406.merge.CanFam31.bam,F_CentralAsia_Kyrgyzstan_SRR20326406.merge.CanFam31.bam
1E-09,0.005171568,0.238027536,0.702681445,1E-09,0.054119449,Kazakhstan_SRR20326405.CanFam31.bam,F_CentralAsia_Kazakhstan_SRR20326405.CanFam31.bam
0.02552978,0.010821331,0.461992045,0.170616427,0.002836273,0.328204144,norwegian_wolf,F_CentralAsia_AW012.CanFam31.realigned.bam
1E-09,1E-09,0.20235918,0.76556015,1E-09,0.032080667,Russia_SRR20326404.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326404.merge.CanFam31.bam
1E-09,1E-09,0.197862424,0.779861045,1E-09,0.022276528,Russia_SRR20326403.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326403.merge.CanFam31.bam
1E-09,1E-09,1E-09,0.999999995,1E-09,1E-09,Russia_SRR20326401.CanFam31.bam,F_CentralAsia_Russia_SRR20326401.CanFam31.bam
1E-09,1E-09,1E-09,0.999999995,1E-09,1E-09,Russia_SRR20326400.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326400.merge.CanFam31.bam
0.048379616,0.000000001,0.571945019,0.281781584,0.020759254,0.077134526,Russia_SRR20326388.merge.CanFam31.bam,F_CentralAsia_Russia_SRR20326388.merge.CanFam31.bam
1E-09,0.086703974,0.188638695,0.576928184,1E-09,0.147729145,Tajikistan_SRR20326385.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326385.merge.CanFam31.bam
1E-09,0.048474012,0.237270716,0.564445437,1E-09,0.149809834,Tajikistan_SRR20326384.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326384.CanFam31.bam
1E-09,0.035023024,0.248533444,0.546293204,1E-09,0.170150326,Tajikisan_SRR20326383.merge.CanFam31.bam,F_CentralAsia_Tajikisan_SRR20326383.merge.CanFam31.bam
1E-09,0.040053812,0.226562823,0.584534383,1E-09,0.14884898,Tajikistan_SRR20326382.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326382.merge.CanFam31.bam
1E-09,0.284549622,0.183541403,0.399241395,1E-09,0.132667578,Tajikistan_SRR20326381.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326381.CanFam31.bam
1E-09,0.048429436,0.209947403,0.591088522,1E-09,0.150534637,Tajikistan_SRR20326251.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326251.merge.CanFam31.bam
1E-09,0.299887877,0.157262954,0.421273879,1E-09,0.121575288,Tajikistan_SRR20326250.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam
1.62963E-07,1E-09,0.591050453,0.358555106,1E-09,0.050394276,750114-25D.CanFam31.realigned.bam,F_CentralAsia_750114-25D.CanFam31.realigned.bam
1E-09,1E-09,0.607732552,0.338242108,1E-09,0.054025337,750119-30D.CanFam31.realigned.bam,F_CentralAsia_750119-30D.CanFam31.realigned.bam
0.024967467,1E-09,0.786846008,0.156251414,1E-09,0.031935109,750125-33D.CanFam31.realigned.bam,F_CentralAsia_750125-33D.CanFam31.realigned.bam
0.00210389,1.38153E-08,0.55404628,0.37855035,0.000000001,0.065299466,750117-28D.CanFam31.realigned.bam,F_CentralAsia_750117-28D.CanFam31.realigned.bam
1E-09,1E-09,0.662972811,0.322682018,1E-09,0.014345168,750282-35D.CanFam31.realigned.bam,F_CentralAsia_750282-35D.CanFam31.realigned.bam
0.00562055,1E-09,0.669487866,0.297133367,1E-09,0.027758216,750016-17D.CanFam31.realigned.bam,F_CentralAsia_750016-17D.CanFam31.realigned.bam
1E-09,0.00934213,0.226064471,0.701802316,1E-09,0.062791082,China_SRR20326486.merge.CanFam31.bam,F_CentralAsia_China_SRR20326486.merge.CanFam31.bam
1E-09,0.002759534,0.238236394,0.693934679,1E-09,0.065069392,China_SRR20326485.merge.CanFam31.bam,F_CentralAsia_China_SRR20326485.merge.CanFam31.bam
1E-09,0.001241852,0.250663595,0.689387859,1E-09,0.058706691,China_SRR20326484.merge.CanFam31.bam,F_CentralAsia_China_SRR20326484.merge.CanFam31.bam
0.025074846,0.005386382,0.295216257,0.623578892,0.000000001,0.050743623,China_SRR20326483.merge.CanFam31.bam,F_CentralAsia_China_SRR20326483.merge.CanFam31.bam
1E-09,1E-09,0.809140242,0.190859754,1E-09,1E-09,MW486.CanFam31.realigned.bam,F_CentralAsia_MW486.CanFam31.realigned.bam
1E-09,1.03186E-05,1E-09,0.999989677,1E-09,1E-09,China_SRR20326491.merge.CanFam31.bam,G_EastAsia_China_SRR20326491.merge.CanFam31.bam
0.024879712,0.022656434,5.1694E-08,0.952463801,1E-09,1E-09,MW574.CanFam31.realigned.bam,G_EastAsia_MW574.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999995,1E-09,1E-09,Wang_GW4.CanFam31.realigned.bam,G_EastAsia_Wang_GW4.CanFam31.realigned.bam
0.011892242,1E-09,1E-09,0.988107754,1E-09,1E-09,InnerMongoliaWolf.CanFam31.realigned.bam,G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam
0.019240798,0.008578819,0.11771919,0.847778661,1E-09,0.006682531,MW588.CanFam31.realigned.bam,G_EastAsia_MW588.CanFam31.realigned.bam
0.017804292,0.011571212,0.176607183,0.764556256,1E-09,0.029461056,MW561.CanFam31.realigned.bam,G_EastAsia_MW561.CanFam31.realigned.bam
0.013350663,1E-09,0.059879187,0.926770147,1E-09,1E-09,MW524.CanFam31.realigned.bam,G_EastAsia_MW524.CanFam31.realigned.bam
0.001061932,1E-09,0.113630183,0.885307882,1E-09,1E-09,MW538.CanFam31.realigned.bam,G_EastAsia_MW538.CanFam31.realigned.bam
1E-09,1E-09,0.999999995,1E-09,1E-09,1E-09,MW336.CanFam31.realigned.bam,H_Europe_MW336.CanFam31.realigned.bam
0.006433108,0.034410903,1E-09,0.959155986,1E-09,1E-09,Chinese_CAN7.CanFam31.realigned.bam,G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam
1E-09,0.015731066,1E-09,0.98426893,1E-09,1E-09,Chinese_CAN6.CanFam31.realigned.bam,G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam
0.037587557,1E-09,0.054082851,0.908329589,1E-09,1E-09,Wang_GW2.CanFam31.realigned.bam,G_EastAsia_Wang_GW2.CanFam31.realigned.bam
0.043818828,0.033589466,1E-09,0.922591703,1E-09,1E-09,LiaoNingWolf.CanFam31.realigned.bam,G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam
0.052197941,0.056375568,1E-09,0.891426488,1E-09,1E-09,Shanxi2Wolf.CanFam31.realigned.bam,G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam
0.007693847,0.063509503,1E-09,0.928796647,1E-09,1E-09,Shanxi1Wolf.CanFam31.realigned.bam,G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam
0.078163211,1E-09,0.137991549,0.700352565,0.083492672,1E-09,Ellesmere1.CanFam31.realigned.bam,I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam
0.086012265,1E-09,0.175394664,0.65591732,0.082675749,1E-09,AlaskanWolf.CanFam31.realigned.bam,I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam
0.135897218,1E-09,0.110653254,0.607023868,0.146425657,1E-09,MexicanWolf.CanFam31.realigned.bam,I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,BerlinZoo.CanFam31.realigned.bam,A_A_Dhole_BerlinZoo.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,Ethiopian_wolf_B3.CanFam31.realigned.bam,A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,Syrian_jackal.CanFam31.realigned.bam,A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,KenyaJackal.CanFam31.realigned.bam,A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,ERR4372262_Morocco_Africanwolf.CanFam31.bam,A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam
0.027936236,1E-09,1E-09,1E-09,0.97206376,1E-09,CRR010907_Algeria_Africanwolf.CanFam31.bam,A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam
1E-09,1E-09,1E-09,1E-09,0.999999995,1E-09,Africanwolf_SRR8049196.CanFam31.bam,A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam
1E-09,1E-09,1E-09,0.175524118,0.824475878,1E-09,CaliforniaCoyote.CanFam31.realigned.bam,A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam
0.099547918,1E-09,1E-09,0.17151972,0.728932358,1E-09,SRR1518489_Coyote_Illinois.CanFam31.bam,A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam
0.999999995,1E-09,1E-09,1E-09,1E-09,1E-09,Beagle_SRR7107976.CanFam31.bam,Z_Dog_Beagle_SRR7107976.CanFam31.bam
0.999999995,1E-09,1E-09,1E-09,1E-09,1E-09,Dauchound_SRR7107971.CanFam31.bam,Z_Dog_Dauchound_SRR7107971.CanFam31.bam
0.999999995,1E-09,1E-09,1E-09,1E-09,1E-09,SRR7107875_Airdale.CanFam31.bam,Z_Dog_SRR7107875_Airdale.CanFam31.bam
0.999999995,1E-09,1E-09,1E-09,1E-09,1E-09,SharPei02.CanFam31.realigned.bam,Z_Dog_SharPei02.CanFam31.realigned.bam
0.067029059,0.630398562,1E-09,0.302572376,1E-09,1E-09,China_Sichuan_again_SRR20326479.CanFam31.bam,E_Tibetan_Sichuan
