A1,A2,A3,A4,A5,Sample,Names
0.131676237,1E-09,0.292199179,0.500729041,0.075395542,Tajikistan_SRR20326250.merge.CanFam31.bam,F_CentralAsia_Tajikistan_SRR20326250.merge.CanFam31.bam
0.053980896,1E-09,1E-09,0.387364482,0.55865462,750114-25D.CanFam31.realigned.bam,F_CentralAsia_750114-25D.CanFam31.realigned.bam
0.058509096,1E-09,1E-09,0.37065326,0.570837642,750119-30D.CanFam31.realigned.bam,F_CentralAsia_750119-30D.CanFam31.realigned.bam
0.03438653,1E-09,1E-09,0.175384452,0.790229016,750125-33D.CanFam31.realigned.bam,F_CentralAsia_750125-33D.CanFam31.realigned.bam
0.068578872,1E-09,1E-09,0.405285603,0.526135524,750117-28D.CanFam31.realigned.bam,F_CentralAsia_750117-28D.CanFam31.realigned.bam
0.018278797,1E-09,1E-09,0.348495165,0.633226036,750282-35D.CanFam31.realigned.bam,F_CentralAsia_750282-35D.CanFam31.realigned.bam
0.029839068,1E-09,1E-09,0.319259059,0.650901871,750016-17D.CanFam31.realigned.bam,F_CentralAsia_750016-17D.CanFam31.realigned.bam
0.067402049,1E-09,0.004745438,0.749689357,0.178163155,China_SRR20326486.merge.CanFam31.bam,F_CentralAsia_China_SRR20326486.merge.CanFam31.bam
0.069669177,1E-09,1E-09,0.742925088,0.187405733,China_SRR20326485.merge.CanFam31.bam,F_CentralAsia_China_SRR20326485.merge.CanFam31.bam
0.063148676,1E-09,1E-09,0.736038262,0.20081306,China_SRR20326484.merge.CanFam31.bam,F_CentralAsia_China_SRR20326484.merge.CanFam31.bam
0.053890215,0.000000001,0.003831329,0.658556817,0.283721637,China_SRR20326483.merge.CanFam31.bam,F_CentralAsia_China_SRR20326483.merge.CanFam31.bam
6.3365E-08,1E-09,1E-09,0.218529527,0.781470407,MW486.CanFam31.realigned.bam,F_CentralAsia_MW486.CanFam31.realigned.bam
1E-09,1E-09,0.004971555,0.995028442,1E-09,China_SRR20326491.merge.CanFam31.bam,G_EastAsia_China_SRR20326491.merge.CanFam31.bam
1E-09,1E-09,0.027016081,0.972983916,1E-09,MW574.CanFam31.realigned.bam,G_EastAsia_MW574.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.999999996,1E-09,Wang_GW4.CanFam31.realigned.bam,G_EastAsia_Wang_GW4.CanFam31.realigned.bam
1E-09,1E-09,0.004309237,0.99569076,1E-09,InnerMongoliaWolf.CanFam31.realigned.bam,G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam
0.007749162,1E-09,0.010905001,0.869231945,0.112113891,MW588.CanFam31.realigned.bam,G_EastAsia_MW588.CanFam31.realigned.bam
0.03083047,1E-09,0.012730449,0.787191863,0.169247217,MW561.CanFam31.realigned.bam,G_EastAsia_MW561.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.945125447,0.05487455,MW524.CanFam31.realigned.bam,G_EastAsia_MW524.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.899182843,0.100817154,MW538.CanFam31.realigned.bam,G_EastAsia_MW538.CanFam31.realigned.bam
1E-09,1E-09,1E-09,1E-09,0.999999996,MW336.CanFam31.realigned.bam,H_Europe_MW336.CanFam31.realigned.bam
1E-09,1E-09,0.039084778,0.960915219,1E-09,Chinese_CAN7.CanFam31.realigned.bam,G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam
1E-09,1E-09,0.020490311,0.979509686,1E-09,Chinese_CAN6.CanFam31.realigned.bam,G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam
1E-09,1E-09,1E-09,0.913985826,0.086014171,Wang_GW2.CanFam31.realigned.bam,G_EastAsia_Wang_GW2.CanFam31.realigned.bam
1E-09,1E-09,0.040973787,0.95902621,1E-09,LiaoNingWolf.CanFam31.realigned.bam,G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam
1E-09,1E-09,0.069301668,0.930698329,1E-09,Shanxi2Wolf.CanFam31.realigned.bam,G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam
1E-09,1E-09,0.070271325,0.929728672,1E-09,Shanxi1Wolf.CanFam31.realigned.bam,G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam
