P1,P2,Group,Group_ordered,Group_broad,Lat,Long,P3,P4,Dstat,Se,Zscore,ABBA,BABA,total
Wolf_Norway_MW005,Wolf_Kazakhstan_750117,Kazakhstan,G_Kazakhstan,Kazakhstan,48.71935718,69.4279307,Wolf_Tibetan_CAN32,Andeanfox,0.000393,0.000077,5.139,403722,386156,44668530
Wolf_Norway_MW005,Wolf_Mongolia_MW588,Mongolia,F_Mongolia,EastChina_Mongolia,48.73024,98.23747,Wolf_Tibetan_CAN32,Andeanfox,-0.00037,0.000084,-4.421,389449,405969,44668530
Wolf_Norway_MW014,Wolf_Kyrgyzstan_SRR20326406,Kyrgyzstan,C_Kyrgyzstan,CentralAsianmountains,48.88602669,62.30253855,Wolf_Tibetan_CAN32,Andeanfox,0.000675,0.000115,5.887,444084,413935,44668530
Wolf_Norway_MW005,Wolf_InnerMongolia_CAN6,EastChina,E_EastChina,EastChina_Mongolia,48.89719487,122.7273978,Wolf_Tibetan_CAN32,Andeanfox,-0.001541,0.00012,-12.813,386823,455677,44668530
Wolf_Norway_MW011,Wolf_Ukraine_MW707,Europe,I_Europe,Europe,49.14606546,31.53535847,Wolf_Tibetan_CAN32,Andeanfox,0.000651,0.00006,10.794,397225,368131,44668530
Wolf_Norway_MW005,Wolf_Slovakia_MW339,Europe,I_Europe,Europe,49.21531,19.44052,Wolf_Tibetan_CAN47,Andeanfox,0.000406,0.000054,7.468,384135,365996,44668530
Wolf_Norway_MW005,Wolf_Russia_SRR20326404,Russia,H_Russia,Russia,50.57490455,87.26497553,Wolf_Tibetan_CAN36,Andeanfox,0.000534,0.000114,4.669,444333,420464,44668530
Wolf_Norway_MW005,Wolf_Russia_SRR20326403,Russia,H_Russia,Russia,50.57490455,87.26497553,Wolf_Tibetan_CAN37,Andeanfox,0.000539,0.000117,4.605,442695,418633,44668530
Wolf_Norway_MW015,Wolf_Russia_SRR20326401,Russia,H_Russia,Russia,50.57490455,87.26497553,Wolf_Tibetan_CAN38,Andeanfox,0.000714,0.000086,8.284,442881,410977,44668530
Wolf_Norway_MW005,Wolf_Germany_MW055,Europe,I_Europe,Europe,50.652051,9.162438,Wolf_Tibetan_CAN32,Andeanfox,0.000373,0.000054,6.919,377488,360846,44668530
Wolf_Norway_MW005,Wolf_Czech_MW045,Europe,I_Europe,Europe,50.797808,14.417685,Wolf_Tibetan_CAN32,Andeanfox,0.000188,0.000055,3.434,373586,365180,44668530
Wolf_Norway_MW005,Wolf_Iran_Tehran_SRR20326410,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,51.39,35.41,Wolf_Tibetan_CAN32,Andeanfox,0.001315,0.000085,15.532,458007,399260,44668530
Wolf_Norway_MW005,Wolf_Iran_Tehran_SRR20326408,SouthwestAsia,Z_SouthwestAsia,SouthwestAsia,51.39,35.41,Wolf_Tibetan_CAN32,Andeanfox,0.001342,0.000081,16.493,458682,398721,44668530
Wolf_Norway_MW005,Wolf_RussiaAtlai_GW1,Russia,H_Russia,Russia,52.33253089,87.90969994,Wolf_Tibetan_CAN40,Andeanfox,-0.00058,,,,,
Wolf_Norway_MW005,Wolf_Russia_GW3,Russia,H_Russia,Russia,53.26434282,34.35244883,Wolf_Tibetan_CAN45,Andeanfox,-0.000122,0.0001,-1.214,373795,379236,44668530
Wolf_Norway_MW005,Wolf_Lithuania_MW020,Europe,I_Europe,Europe,56.152023,23.224096,Wolf_Tibetan_CAN32,Andeanfox,0.000414,0.000102,4.05,388327,369827,44668530
Wolf_Norway_MW005,Wolf_Russia_750016,Russia,H_Russia,Russia,56.43,63.47,Wolf_Tibetan_CAN33,Andeanfox,0.000522,0.0001,5.203,399888,376560,44668530
Wolf_Norway_MW005,Wolf_Russia_7502882,Russia,H_Russia,Russia,56.5,64.59,Wolf_Tibetan_CAN46,Andeanfox,0.000458,0.000073,6.294,395254,374806,44668530
,Wolf_Russia_MW524,,,,57.443441,127.41704,,,-0.000255,,,,,
Wolf_Norway_MW005,Wolf_Finland_MW347,Europe,I_Europe,Europe,60.75394468,22.18612792,Wolf_Tibetan_CAN32,Andeanfox,0.000379,0.000099,3.823,351907,334995,44668530
,Wolf_ChukotkaRussia_Wang_GW2,,,,66.75292172,173.4644747,,,-0.000516,,,,,
Wolf_Norway_MW007,Wolf_Russia_SRR20326400,Russia,H_Russia,Russia,70.26050574,133.9829338,Wolf_Tibetan_CAN39,Andeanfox,0.000566,0.000117,4.831,445568,420287,44668530
,Wolf_Russia_MW538,,,,72.384805,114.594015,,,0.000113,,,,,
