Sample,Heterozygosity,Long,Lat
Tajikisan_SRR20326383.merge.CanFam31.bam,0.001879887,38.36463803,72.71409311
Tajikistan_SRR20326250.merge.CanFam31.bam,0.001946471,37.72439101,73.19749153
Tajikistan_SRR20326251.merge.CanFam31.bam,0.00166694,38.91383927,71.98899547
Tajikistan_SRR20326381.CanFam31.bam,0.001939408,38.00194155,73.90061652
Tajikistan_SRR20326382.merge.CanFam31.bam,0.001798811,37.82859494,72.25266734
Tajikistan_SRR20326384.CanFam31.bam,0.001875587,38.08846159,72.88987435
Tajikistan_SRR20326385.merge.CanFam31.bam,0.001833623,38.74266607,72.99973763
Wang_GW1.CanFam31.realigned.bam,0.001761448,52.33253089,87.90969994
Wang_GW2.CanFam31.realigned.bam,0.001541327,66.75292172,173.4644747
Wang_GW3.CanFam31.realigned.bam,0.001667945,53.26434282,34.35244883
Wang_GW4.CanFam31.realigned.bam,0.001485017,48.43867083,121.1069365
